Country.Region,Province.State,Population,Density,Source,Level
Saint Lucia,None,178844,,World Bank,Country.Region
Saint Vincent and the Grenadines,None,109897,,World Bank,Country.Region
Samoa,None,196130,,World Bank,Country.Region
San Marino,None,33785,,World Bank,Country.Region
Sao Tome and Principe,None,211028,,World Bank,Country.Region
Saudi Arabia,None,33699947,,World Bank,Country.Region
Senegal,None,15854360,,World Bank,Country.Region
Serbia,None,6982084,,World Bank,Country.Region
Seychelles,None,96762,,World Bank,Country.Region
Sierra Leone,None,7650154,,World Bank,Country.Region
Singapore,None,5638676,,World Bank,Country.Region
Sint Maarten (Dutch part),None,40654,,World Bank,Country.Region
Slovak Republic,None,5447011,,World Bank,Country.Region
Slovakia,None,5435343,,OECD,Country.Region
Slovenia,None,2067372,,World Bank,Country.Region
Small states,None,40575321,,World Bank,Country.Region
Solomon Islands,None,652858,,World Bank,Country.Region
Somalia,None,15008154,,World Bank,Country.Region
South Africa,None,57779622,,World Bank,Country.Region
South Asia,None,1814388744,,World Bank,Country.Region
South Asia (IDA & IBRD),None,1814388744,,World Bank,Country.Region
South Korea,None,51446201,,OECD,Country.Region
"Korea, South",None,51446201,,OECD,Country.Region
South Sudan,None,10975920,,World Bank,Country.Region
Spain,None,46723749,,World Bank,Country.Region
Sri Lanka,None,21670000,,World Bank,Country.Region
St. Kitts and Nevis,None,52441,,World Bank,Country.Region
St. Lucia,None,181889,,World Bank,Country.Region
St. Martin (French part),None,37264,,World Bank,Country.Region
St. Vincent and the Grenadines,None,110210,,World Bank,Country.Region
Sub-Saharan Africa,None,1078306520,,World Bank,Country.Region
Sub-Saharan Africa (excluding high income),None,1078209758,,World Bank,Country.Region
Sub-Saharan Africa (IDA & IBRD countries),None,1078306520,,World Bank,Country.Region
Sudan,None,41801533,,World Bank,Country.Region
Suriname,None,575991,,World Bank,Country.Region
Sweden,None,10183175,,World Bank,Country.Region
Switzerland,None,8516543,,World Bank,Country.Region
Syrian Arab Republic,None,16906283,,World Bank,Country.Region
Syria,None,16906283,,World Bank,Country.Region
Tajikistan,None,9100837,,World Bank,Country.Region
Taiwan*,None,23780000,,Google,Country.Region
Taiwan,None,23780000,,Google,Country.Region
Tanzania,None,56318348,,World Bank,Country.Region
Thailand,None,69428524,,World Bank,Country.Region
Timor-Leste,None,1267972,,World Bank,Country.Region
Togo,None,7889094,,World Bank,Country.Region
Tonga,None,103197,,World Bank,Country.Region
Trinidad and Tobago,None,1389858,,World Bank,Country.Region
Tunisia,None,11565204,,World Bank,Country.Region
Turkey,None,82319724,,World Bank,Country.Region
Turkmenistan,None,5850908,,World Bank,Country.Region
Turks and Caicos Islands,None,37665,,World Bank,Country.Region
Tuvalu,None,11508,,World Bank,Country.Region
Uganda,None,42723139,,World Bank,Country.Region
Ukraine,None,44622516,,World Bank,Country.Region
United Arab Emirates,None,9630959,,World Bank,Country.Region
United Kingdom,None,66488991,,World Bank,Country.Region
UK,None,66488991,,World Bank,Country.Region
US,None,327167434,,World Bank,Country.Region
Upper middle income,None,2655635719,,World Bank,Country.Region
Uruguay,None,3449299,,World Bank,Country.Region
Venezuela,None,31980000,,World Bank,Country.Region
US,California,39512223,253.5206882,US Census Bureau,Province.State
US,Texas,28995881,110.9834667,US Census Bureau,Province.State
US,Florida,21477737,400.3464277,US Census Bureau,Province.State
US,New York,19453561,412.8184286,US Census Bureau,Province.State
US,Pennsylvania,12801989,286.1310581,US Census Bureau,Province.State
US,Illinois,12671821,228.2646781,US Census Bureau,Province.State
US,Ohio,11689100,286.0855212,US Census Bureau,Province.State
US,Georgia,10617423,183.9587314,US Census Bureau,Province.State
US,North Carolina,10488084,215.7142042,US Census Bureau,Province.State
US,Michigan,9986857,176.4277398,US Census Bureau,Province.State
US,New Jersey,8882190,1207.672217,US Census Bureau,Province.State
